description,y
"Cutting-edge, high-profile, game-changing work - just another day as a Data Engineer / Analytics Developer at Avanade

Avanade’s North American Internship Program was created for one purpose: revolutionize the way we design and deliver engaging, connected experiences for our clients and their customers. Through the combination of creative and technology expertise, our digital interns will spend their time creating never-before-seen, radical and exciting solutions to our clients’ biggest business challenges. If you’re interested in having an impact on tomorrow’s digital landscape, then let us know who you are, what you do, and why we’d be crazy not to bring you on board.

During our 10-week internship program, you will have the opportunity to experience our culture, build your network and apply your education, while gaining real-world experience. You’ll spend your summer taking on a variety of roles with some fun along the way. The experience only lasts the summer, but will open up a lifetime of opportunity.

Academic requirements:

College Junior-standing, with target graduation date between December 2020 and June 2021
Pursuit of a Bachelor’s degree in a technology-related discipline
Major GPA of a 3.0 or above. Cumulative GPA of 2.8 or above (3.0 or above highly desired)
Creative mind and collaborative spirit

Responsibilities may include:

Plan and deliver data warehouse and storage architectures
Support planning and implementation of data design services, providing sizing and configuration assistance and performing needs assessments
Develop and maintain data warehouse schematics, layouts, architectures and relational databases for data storage and data mining
Deliver data to end users using Microsoft SQL Server Reporting Services (SSRS), Microsoft Excel, PowerPivot and Microsoft SharePoint Performance Point
Customize data storage and extraction, data mining, database architecture, metadata and repository creation
Implement effective metrics and monitoring processes

Your skillset and experience likely includes:

Passion for technology
Excellent verbal and written communication skills
Ability to excel in a team-oriented, project based work environment
Demonstrated leadership experience in an academic, extracurricular or professional setting
Previous work, internship or co-op experience, preferably with customer-facing responsibilities
Strong critical thinking skills, and the ability to think on your feet
Ability to learn in a fast-paced environment

You likely have had exposure to or are familiar with:

Database storage, collection and aggregation models, techniques and technologies and the ability to apply such methods to solve business problems
Knowledge of structured problem-solving assignments
Strong project management and people management skills
Knowledge of Microsoft SharePoint, PowerPivot, SSRS, Excel
SQL

About Avanade

Avanade leads in providing innovative digital services, business solutions and design-led experiences for its clients, delivered through the power of people and the Microsoft ecosystem. Our professionals combine technology, business and industry expertise to build and deploy solutions to realize results for clients and their customers. Avanade has 27,000 digitally connected people across 23 countries, bringing clients the best thinking through a collaborative culture that honors diversity and reflects the communities in which we operate. Majority owned by Accenture, Avanade was founded in 2000 by Accenture LLP and Microsoft Corporation. Learn more at [1] www.avanade.com.

Avanade® Is An Equal Opportunity Employer. Avanade prohibits discrimination and harassment against any employee or applicant for employment because of race, color, age, religion, sex, national origin, gender identity or expression, sexual orientation, disability, veteran, military or marital status, genetic information or any other protected status.
References

Visible links
1. http://www.avanade.com/",3
"Job Description

Are you passionate about data and technology? Would you like to be on the forefront of innovation, working in a fast-paced environment with the resources of an established brand? Then you might be a perfect fit at one of our partner company’s offices in Dallas, Charlotte, Seattle, Atlanta, or Chicago.

In the role of Data Engineering Apprentice, you will be providing support to consulting and technical teams across various stages of the Software Development Life Cycle. You will play a critical role by contributing to the knowledge management process while interfacing with internal teams to ensure high-quality deliverables.

What is the Apprenticeship experience like?

As a way to accelerate your growth, you'll participate in DCI's Data Analyst Apprenticeship Program remotely while working at a partner company. Prior to the apprenticeship program start date, you’ll receive three months of in-demand skills acceleration, coaching, and interview preparation in the Pre-Apprenticeship program which is also remote.

As an apprentice, you'll start in a cohort of 10+ apprentices and complete the program over 12 months where you can earn 24 college credit hours to transfer towards a bachelor's degree online. *(select colleges apply)

You’ll attend remote evening sessions twice a week where you’ll dive deep into all things data including business analysis using various techniques, e.g. statistical analysis, explanatory and predictive modeling, python, coding, and data mining. You'll complete milestones along the way like earning data certifications to validate your skills, module portfolio projects, etc.

You will also receive support from top industry coaches and mentors to progress through your personal and professional goals, skills roadmap, while also demonstrating new knowledge and competencies through hands-on application with your portfolio project.

Furthermore, DCI’s Data Analyst Apprenticeship Program is an official registered apprenticeship recognized by the Department of Labor (DOL). Every graduate of a Registered Apprenticeship program receives a nationally-recognized credential from the DOL.

Key qualifications for the Data Engineering Apprentice Role:

Because we understand that you’re just beginning your career, we’re committed to your learning and growth. We’re seeking candidates who have the following requirements.

Associate degree or equivalent
Adventurers needed. You'll have the opportunity to be placed in one of our partner company’s offices in Dallas, Charlotte, Seattle, Atlanta, or Chicago.
Strong computer skills, including experience with programming languages (Python, Java, SQL, R, etc.)
Experience with Microsoft Office tools, especially creating/ maintaining Excel spreadsheets
High level of attention to detail and problem-solving ability
Ability to accurately sort and analyze data
Ability to communicate ideas both verbally and in writing
Must be willing to learn additional data engineering and analytics toolsets

Key Responsibilities:

Architect, design and detail processes
Troubleshoot issues, document process, review checklists, and develop a reference implementation
Develop and implement databases, data collection systems, data analytics and other strategies that optimize efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Support technical team deployment with activities to ensure a smooth go-live of new processes, products, or systems
Understand the existing system and processes to document
Reverse knowledge transfer to document the process of support and maintenance

This job entails sitting as well as working at a computer for extended periods of time. You should be able to communicate by telephone, email, or face to face. Travel may be required based on job requirements. Adventurers needed. You'll have the opportunity be placed in one of our partner company's locations throughout the US.

U.S. citizens and those authorized to work in the U.S. are encouraged to apply. We are unable to sponsor at this time.

Important Note:

Learn more about the Data Analyst Apprenticeship program on our website before you apply. http://bit.ly/DCIDataAnalyst

After, submit your apprenticeship application to get started: http://bit.ly/32pnswk",3
"Our mission is to help people everywhere find a job and company they love. We are disrupting the 100+ billion dollar recruiting industry by changing how people search for jobs and how companies recruit top talent. Help us achieve our goals while working at a stable, profitable, 1+ billion dollar company

We are looking for a talented data engineering intern to join our growing data engineering team. The ideal candidate is knowledgeable about data platforms that enable business intelligence, analytics, data science, and data products. You are interested and passionate about data and the technologies that enable preparation, analysis, and scalable workflows.

Reporting to the lead data engineer, you will be working on a wide range of big data engineering projects, including building data pipelines, data modeling, dashboard development and coordinating with data scientists and machine learning engineers to build models that inform the business. You will empower our internal stakeholders with high-quality data sets, data workflows, and data serving solutions. Insights from these data sets will be used in several applications including - improving job search experience and personalization. This is an excellent opportunity to learn and develop in the company of top notch data engineers working on complex data problems at scale.

We embrace a wide variety of technologies and work very closely with data scientists and business stakeholders to deliver end to end solutions. If you are interested in a fast paced environment, the latest technologies, and fun data problems come join us!

Responsibilities/Opportunities to learn


Design and develop big data applications using a variety of different technologies.
Develop logical and physical data models for big data platforms.
Automate workflows using Apache Airflow.
Write data pipelines using Apache Hive, Apache Spark.
Create solutions on AWS using services such as Lambda and API Gateway.
Learn our business domain and technology infrastructure quickly and share your knowledge freely and proactively with others in the team.

Key Qualifications


Experience with programming languages: Python, Java, Scala, etc.
Practical working experience writing queries in SQL and HQL (Hive SQL)
Comfortable working in a *nix environment
Knowledge of distributed data processing platforms (Hadoop, Hive, Spark, Airflow, Kafka, etc.)
Capable of delivering on multiple competing priorities
Excellent verbal and written communication skills
Strong interest in all things data and an ambition to learn

Nice To Have


Experience building machine learning pipelines or data products
Familiarity with AWS or GCS technologies
Be passionate about or have contributed to open sourced engineering projects in the past.

Why Glassdoor?


Work with purpose – join us in creating transparency for job seekers everywhere
Conveniently located office in the heart of downtown San Francisco (Embarcadero)
No gender pay gap ( https://www.glassdoor.com/about-us/glassdoor-pay-gap-audit-2019/ ); we're committed to equal pay with our annual pay gap 'checkup'
Fully-stocked break rooms with complimentary food and drinks
Your choice between Mac or PC

Glassdoor is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to gender, race, religion, national origin, ethnicity, disability, gender identity/expression, sexual orientation, age, veteran or military status, or any other category protected under the law. Glassdoor is an equal opportunity employer; committed to a community of inclusion, and an environment free from discrimination, harassment, and retaliation.",3
"Summary of Major Responsibilities:
The Data Engineer II provides technical expertise, enables data analysis, and is an expert of the data generated by business systems. They will contribute to meaningful, effective, and performant data visualizations and reports, and analyze, troubleshoot and tune performance.
Essential Duties and Responsibilities:
Provide expertise in data management, analysis, and visualizations.
Partner with analysts and other users of data.
Develop and share knowledge of advanced reporting, analytics, and dashboarding tools, including Tableau.
Develop and automate data pipelines.
Clean and prep data.
Debug data issues in dashboards, reports, data warehouses, operational data stores, and other disparate data sources.
Improve monitoring, automated testing, and deployments.
Be a resource for providing insight, recommendations, and assistance with technical and non-technical questions.
Monitor and recommend enhancements to the technical architecture to keep pace with changing business demands and scale.
Stay informed of technology industry trends and solutions with ability to analyze for possible application in our environment.
Work with Information Technology management and staff to develop and maintain standards, processes, and documentation.
Promote the role and capabilities of IT to enhance the professional development of all staff through example, recommendation, and accommodation.
Work independently with little oversight and direction.
Special projects as business needs require.
Ability to translate business requirements to technical specifications.
Ability to work in a fast-paced, cross-functional team environment.
Adaptable, open to change, and able to work in ambiguous situations and respond to new information or unexpected circumstances.
Excellent interpersonal and communication skills, ability to operate in a cross cultural and complex matrix environment, and ability to build consensus across functions.
Uphold company mission and values through accountability, innovation, integrity, quality, and teamwork.
Support and comply with the company’s Quality Management System policies and procedures.
Regular and reliable attendance.
Ability to work on a mobile device, tablet, or in front of a computer screen and/or perform typing for approximately 90% of a typical working day.
Ability and means to travel between Madison locations.
Qualifications:
Minimum Qualifications
Bachelor’s degree in Computer Science, Information Systems, or related field; or High School Degree/General Education Diploma and 4 years of relevant experience in lieu of Bachelor’s degree.
5+ years of experience in data and/or software engineering or related field.
1+ year experience querying disparate data sources, such as relational structures, OLTP systems, and dimensional data models.
1+ year experience working with SQL for data exploration, debugging, and performant data access.
Proficient in all MS Office applications including Excel, and Word.
Authorization to work in the United States without sponsorship.
Demonstrated ability to perform the Essential Duties of the position with or without accommodation.
Preferred Qualifications
Experience designing and developing reports, dashboards, and visualizations.
Experience with Python, AWS, Snowflake, Microsoft EDW/BI/OLAP technologies (e.g. SQL Server, SSRS, SSIS), or ETL.
Experience developing dashboards and reports on data from sales, call center, and custom software applications.
Experience with Tableau, ideally including performance optimization.
Experience as an Epic BI Developer (BID).
#LI-AL1
EEO Disclosure:
We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to age, color, creed, disability, gender identity, national origin, protected veteran status, race, religion, sex, sexual orientation, and any other status protected by applicable local, state or federal law. Applicable portions of the Company’s affirmative action program are available to any applicant or employee for inspection upon request.",0
"Work with business users and application architects to understand data requirements, definitions and business rulesCreate conceptual and logical data models that accurately reflect these requirements in a way easily understood by business users and development teamsWork with dev teams to create sound physical data designs that reflect the project architecture and choice of data/database technologyImplement data structures on a variety of database platforms, including SQL Server, Oracle, Teradata and SnowflakeWork with dev teams to create database objects (views, functions, stored procedures) that improve application performance, functionality and scalabilityBuild data pipelines (including data migration from legacy data sources, cleansing and transformation), data validation frameworks, job schedules with emphasis on automation and scaleContribute to overall architecture, framework, and design patterns to store and process high data volumesEnsure product and technical features are delivered to spec and on-timeDesign and implement features in collaboration with product owners, reporting analysts / data analysts, and business partners within an Agile / Scrum methodologyProactively support product health by building solutions that are automated, scalable, and sustainable – be relentlessly focused on minimizing defects and technical debt QualificationsMasters’ or Bachelors' degree in Software Engineering or a related field5+ years of experience in large-scale software development (preferably Agile) with emphasis on data modeling and database development5+ years of experience with data modeling tools (Erwin, ER/Studio, PowerDesigner)5+ years of experience with relational DBMSs and SQL coding (SQL Server, Oracle, Teradata, Snowflake)Ability to communicate effectively (both orally and in writing) with business users, project team leaders and application developersProficiency with ETL tools and techniques (SSIS, Attunity, Informatica)2+ years experience with AWS and related services (EC2, S3, DynamoDB, ElasticSearch, SQS, SNS, Lambda, Airflow, Snowflake, etc.) EducationBachelors' degree in Computer Science or a related field Additional Job Board Information**********************************************************************************************Job Types: Full-time, Part-time, ContractSalary: $0.00 /year",3
"JOB TITLE: Naval Aviation Data Analyst
PROJECT OVERVIEW:
This project provides technical and professional services to support management of Navy’s Fleet Readiness models and the analytical development of annual readiness funding requirements for Navy ships, aircraft and expeditionary assets. This position focuses on Navy and Marine Corps annual flying hour requirements.
JOB DESCRIPTION AND RESPONSIBILITIES:
Assist Navy’s Flying Hour Program (FHP) Manager through Planning, Programming, Budgeting and Execution (PPBE) phases of FHP development and execution
Coordinate with Navy’s Aviation Readiness Branch (OPNAV N832) thru all PPBE phases to facilitate accurate representation of Navy’s flying hour requirements
Analyze Navy flying hour and other data from databases and web-based applications using spreadsheets
Maintain and expand current digital dashboards displaying Navy flying hour information
Produce briefings, information papers, and attend meetings related to Navy’s Flying Hour Program

REQUIRED SKILLS AND QUALIFICATIONS:
Security Clearance: Secret
Active Secret DOD Clearance
Bachelor’s degree from an accredited college or university with a curriculum or major field of study associated with evaluating alternative courses of action using analytical methodologies and a variety of information technology resources
Five (5) years of relative experience can be substituted for a bachelor’s degree

DESIRED SKILLS AND QUALIFICATIONS:
Ability to apply analysis using spreadsheets, web-based applications and databases to support decision making
Ability to package analytical results clearly and succinctly for varying levels of leadership and technical staff
Experience or familiarity with Naval Aviation, Navy’s Flying Hour Program, DOD POM development and PPBE phases
Background in OPNAV, Navy operations, POM and the Department of Defense (D0D) Program, Budget Information System (PBIS) strongly desired
Experience in creating dashboards a plus
Prior active, reserve or government Navy service and or experience as a DOD Program Analysist viewed as a plus

WORK LOCATION: Reston, VA
TRAVEL: 5%
KEY WORDS: Data Analyst, Navy, Naval Aviation, Navy Flying Hour Program, DOD Program Analyst, Navy Program Analyst, OPNAV

WBB is a technical and management consulting company that provides innovative products and services that solve government and commercial customer’s toughest problems. For more than 30 years, WBB has set the standard for excellence in consulting services, while providing its employees with an outstanding work environment with ample opportunities for growth and success. WBB continues to enjoy impressive growth, which is directly attributed to the company’s hiring practice of always hiring the very best professionals from government, military and industry.
We are proud of our diverse environment and are an Equal Opportunity Employer. WBB is committed to a policy of equal employment opportunity. WBB participates in E-Verify.
WBB does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of WBB and WBB will not be obligated to pay a placement fee.",0
"Data Science @ GleanNew York City / Remote OKABOUT GLEAN (currently in stealth mode)Glean is injecting intelligence into expense management. Founded by fintech veteran and seasoned CFO Howard Katzenberg, Glean is an AI-powered spend intelligence solution that saves SMBs money by analyzing expense drivers and finding line-item level insights overlooked by most accounts payable solutions, which are focused on speeding up payment cycles rather than optimizing vendor spend.Over time, our mission is to become the all-in-one spend management solution for SMBs that uses AI to: analyze spend, manage approval and payment workflows, identify anomalous spend & savings opportunities, benchmark spend performance vs. peers, find & negotiate savings with vendors, and forecast future expense trends.Glean will be every finance team’s best friend!Join us!ABOUT THIS ROLEWe are building the next billion-dollar business in enterprise SAAS. We have an amazing founding team, with experts in product, engineering, data science, and machine learning, and we just launched our MVP. We are now searching for a data scientist that will own the core data science work, build NLP applications, and generate insights.After we ingest PDFs from clients, we perform OCR, extract the text using text classification models, validate the extraction with a human in the loop, and then map all the data into our canonical taxonomy.Once the data is mapped to our taxonomy, we have a clean digital invoice-based data asset. We generate insights using this data asset, surfacing line-item level insights to our clients via our web app.Your role will be critical to generating this intelligence for our clients.Here are some of the major items you will own at Glean:Data science code to clean and prepare the data extracted from invoices, including handling nulls, addressing exceptions, imputing data (when possible), and enriching data using third-party APIsData science code to validate the goodness of extractions performed by the ML models + human in the loopCollaborate with vendors to perform OCR and text classificationDevelop NLP models to map the extracted data to our canonical taxonomy of vendors and line items (e.g., using word embeddings, etc.) at scaleOnce the data has been mapped to the canonical taxonomy, perform feature engineering, generate insights, detect anomalies, and surface the intelligence in a digestible format to the end userYou will work closely with the data engineers to productionize the data science and machine learning code that is developed, and you will work closely with the engineering team to make sure the data science and machine learning pipelines are performant in production.You’ll be accountable for Glean’s:Data science vision – ownership over and definition of the data science pipeline, working closely with the executive team, and acting as a thought leader across the companyTechnical execution – define, articulate, and execute the data science strategy from launch to scale, managing the day-to-day execution, and implementing best practicesFast prototyping culture – Develop data science and machine learning applications fast, prototyping quickly to solve thorny business problems without getting bogged down in theory (ship early and often)Getting your hands dirty - we’re a small team and we have a lot of work ahead of us. You should be excited to roll up your sleeves and help the team in any way you canBuild, build, build – jumping in and writing data science code, from architecture to fixing bugs, delivering NLP and insights within the three months of hire. We'll rely on you and your team to handle day-to-day execution including:Cleaning the extracted data, validating the accuracy of the extraction, and addressing issues as they occurShipping NLP applications to perform mapping of extracted data at scaleDeveloping and deploying models using PyTorch or TensorFlowWriting code using PySparkPerforming feature engineering on the cleansed and mapped dataGenerating insights and narrativesPerforming anomaly detection to surface what the client needs to know fastWrangling, standardizing, enhancing, implementing, and monitoring data repositoriesCreating workflows to ingest, enrich, and make data available across the Glean platformPERFECT FITYou’ll be a perfect fit for the Glean Team if…You want to join an early-stage startup or you are extremely anxious to be challenged at your first startupYou like the tension between craft and shipping. You have strong ability to quickly and effectively evaluate technical tradeoffs and translate them into short/long term business decisionsYou’ve built highly scalable data pipelines and have deep expertise in setting technical vision, architecting, building, and maintaining performant systems, from launch to scaleYou are passionate about building / leading data science teams and rapidly developing data pipelines at various stages of growthYou pride yourself in communicating complex concepts, including the ability to distill intricate workflows and systems into clear processes and decisions with measurable company-wide impactYou ask “why” a lot and use critical thinking and data to back up your intuitions. You hate when a customer struggles through your product experienceYou have managed a budget before and have seen first-hand the challenges in managing vendor spendJob Type: Full-timePay: $100,000.00 - $140,000.00 per yearBenefits:401(k)Dental InsuranceFlexible Spending AccountHealth InsuranceVision InsuranceSchedule:Monday to FridayExperience:Data Science: 3 years (Preferred)Machine Learning: 3 years (Preferred)Python: 3 years (Preferred)NLP: 3 years (Preferred)Education:Bachelor's (Preferred)Additional Compensation:Other formsWork Location:Fully RemoteThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance culturePeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeBenefit Conditions:Only full-time employees eligibleWork Remotely:Yes",2
"Data Analyst

Job Description: The position will also play a key supporting role in helping Rooftop Digital enhance communication internally and externally in regards to analysis and analytic tools.

While specific responsibilities will vary day to day the majority of duties will fall under the responsibility for designing and processing reports, analyzing data, and issuing recommendations affecting business decisions. This position is project based, rather than task oriented, and requires a high level of self-motivation and the ability to work autonomously, while still understanding the needs of the company and respective teams.

This position will play a key supporting role in ensuring that Rooftop is able to meet and exceed projected growth targets and will be supporting the account management team, business development, the marketing team, and other teams and initiatives to be determined over time.

If you are extremely detailed and enjoy the complexities involved with tracking and keeping up with information from various sources…or if you see life as a puzzle…and you enjoy finding creative ways of piecing that puzzle together, this might be a great opportunity for you. Ultimately, with the right individual, this position has the potential of taking on material projects within the near-term and longer-term strategic direction of the company. The future of this position has the potential to be influenced by the right individual.

Principle Responsibilities and Duties:

Internal reporting for advertiser network, publisher network, and executive team
Assist in designing and implementing testing methodologies and procedures
Work with all relevant internal resources (which includes our teams in India and any other designated partners) to manage designated quantitative projects
Discover ways to monitor traffic across the network to proactively identify and segment by quality
Continue expansion of self, company, and industry knowledge on all things quantitative and qualitative
Troubleshooting issues related to publisher traffic concerns

Job Requirements:

Education

Bachelor’s Degree in Accounting, Economics, Statistics, Math, or other degrees that show ability of high proficiency for details and analytics

Experience

Highly detailed tasks/projects
Collaborating with internal/external teams
Creative thinking and/or project management responsibilities
Newly degree'd candidates will be considered as well

Skills Required

Ability to analyze complex data sets and make coherent strategic-level business recommendations based from such analysis
Ability to manage and comprehend details in a multi-dimensional capacity
Problem solving cognitive skills
Knowledge/understanding of the importance and process of managing relationships
Excellent verbal and written communication skills
Organized and self-starting- ability to work independently, execute quickly, move to the next task and follow through without constant oversight
Eagerness to learn new technologies and strong interest (or experience) in e-commerce
Intuitive/creative thinker
Ability to learn, manage and prioritize multiple projects, and contribute quickly within a fast-paced environment with meticulous attention to detail, while meeting deadlines.
Proficiency in MS Office (specifically Excel), general knowledge of the internet and online services",0
"Job SummaryLooking for Analytics Analyst to translate web traffic data and survey feedback into meaningful insights.Responsibilities and DutiesProven experience as an analytics analyst or Data scientist.Solid experience in data analysis and reporting: Industry experience is plusBackground in market research and project managementKnowledge of excel, JavaScript, SQL and familiarity with analytics tools such as Google Analytics and adobe omnitureBSc/BA in Computer Science, Statistics, Data Management or a related field.Job Type: ContractExperience:Google Analytics: 3 years (Required)Data Analysis: 5 years (Required)Education:Bachelor's (Required)Contract Renewal:Likely",0
"Overview:
Interested in working with talented people to help develop innovative solutions to some of society’s most complex and challenging problems? We are Guidehouse, a leading consulting firm serving the public sector and commercial clients with specialized capabilities in strategy, technology, and risk management. You may not yet know our name, but we have a rich history. Guidehouse is a combination of PwC’s former public sector practice and Navigant’s deep expertise in energy, financial services and healthcare.

We offer an exciting, fast-paced environment that fosters intellectual growth and rewards individuals based on impact, not tenure. Our firm is at the forefront of an emerging model solving complex problems that stretch across government and private companies, affording our people the opportunity to be on the cutting edge of the consulting profession. By focusing on markets facing transformational change, technology-driven innovation, and significant regulatory pressure, our employees also develop and deploy world class knowledge and problem solving that leads to breakthrough solutions.
Responsibilities:

Skills Requirements:

Bachelor’s degree plus 1 years experience as a data/business analyst
Experience gathering business requirements related and working with a technical team to implement
Strong organizational skills and attention to detail
Knowledge of business process mapping
Strong written and oral communication skills
Ability to solve problems and resolve issues independently
Excellent command of Microsoft Office (Word, Excel, PowerPoint)
Basic knowledge of conceptual, logical and physical data models
Qualifications:
Nice to Have:
University degree in computer science or related
Experience using Erwin data modeling software
Relevant professional certifications
Knowledge of SQL queries
Experience to create conceptual, logical and physical data models
Experience to create diagrams (e.g., Visio, PowerPoint)
Experience using the Agile methodology
Additional Requirements:
This position requires successful completion of a background check and employment verification.
The successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.
Disclaimer:
Disclaimers
Guidehouse is an Equal Employment Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, citizenship status, military status, protected veteran status, religion, creed, physical or mental disability, medical condition, marital status, sex, sexual orientation, gender, gender identity or expression, age, genetic information, or any other basis protected by law, ordinance, or regulation.

Guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the Fair Chance Ordinance of Los Angeles and San Francisco.

If you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact Guidehouse Recruiting at 1-571-633-1711 or via email at RecruitingAccommodation@guidehouse.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

Guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of Guidehouse and Guidehouse will not be obligated to pay a placement fee.

Rewards and Benefits
Guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

Benefits include:
Medical, Rx, Dental & Vision Insurance
Personal and Family Sick Time & Company Paid Holidays
Parental Leave and Adoption Assistance
401(k) Retirement Plan
Basic Life & Supplemental Life
Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts
Short-Term & Long-Term Disability
Skills Development & Certifications
Employee Referral Program
Corporate Sponsored Events & Community Outreach
Emergency Back-Up Childcare Program",0
